aX,aY,aZ,gX,gY,gZ
0.653,1.253,-1.096,-36.926,9.155,39.063
0.631,1.446,-1.264,-34.058,2.563,22.278
0.604,1.555,-1.402,-27.649,-8.545,2.136
0.575,1.629,-1.451,-28.870,-25.696,-17.517
0.570,1.649,-1.409,-39.734,-45.715,-35.889
0.554,1.597,-1.289,-55.664,-65.308,-52.917
0.526,1.556,-1.108,-73.730,-84.717,-67.810
0.532,1.537,-0.917,-86.304,-104.309,-82.458
0.512,1.483,-0.706,-89.233,-121.521,-99.243
0.515,1.375,-0.463,-90.759,-133.667,-117.554
0.545,1.203,-0.209,-95.764,-142.456,-139.343
0.564,0.926,0.068,-97.229,-150.452,-166.138
0.595,0.537,0.420,-88.989,-160.767,-198.486
0.573,0.010,0.841,-68.726,-168.701,-235.901
0.503,-0.631,1.272,-32.288,-169.373,-272.461
0.442,-1.221,1.638,14.893,-163.147,-297.241
0.371,-1.797,1.803,62.378,-146.912,-301.392
0.331,-2.195,1.729,85.510,-116.882,-276.550
0.288,-2.410,1.456,64.758,-72.449,-218.750
0.286,-2.285,1.020,0.732,-25.269,-136.841
0.352,-1.933,0.692,-82.825,14.954,-51.270
0.587,-1.485,0.504,-153.503,42.236,12.817
0.863,-1.127,0.516,-190.491,49.683,35.583
0.960,-1.053,0.656,-164.368,34.302,12.146
0.891,-1.205,0.889,-74.829,6.897,-41.260
0.785,-1.548,1.082,30.640,-17.456,-99.243
0.640,-1.942,1.081,104.492,-26.794,-137.085
0.447,-2.349,0.943,139.954,-20.203,-144.226
0.318,-2.594,0.731,134.949,-6.226,-115.723
0.277,-2.638,0.480,103.088,9.644,-60.303
0.364,-2.484,0.276,62.317,24.109,3.784
0.454,-2.224,0.162,31.006,30.701,57.190
0.531,-1.962,0.191,25.146,25.146,91.553
0.596,-1.720,0.322,39.917,14.771,106.873
0.652,-1.534,0.504,70.801,5.066,106.812
0.681,-1.456,0.667,110.596,-2.258,97.351
0.656,-1.440,0.753,150.085,-6.287,88.867
0.607,-1.416,0.749,179.443,-8.240,90.454
0.566,-1.320,0.694,190.247,-7.568,107.056
0.534,-1.138,0.633,183.472,-4.272,135.254
0.486,-0.857,0.618,171.326,-3.113,170.776
0.497,-0.406,0.641,162.781,-6.653,208.374
0.557,0.068,0.653,160.034,-12.939,239.380
0.564,0.573,0.679,158.386,-15.808,258.301
0.612,1.066,0.762,153.381,-14.221,268.555
0.700,1.545,0.772,138.733,-4.272,268.494
0.780,1.904,0.585,122.498,18.005,254.456
0.855,2.136,0.259,111.450,45.471,227.112
0.816,2.151,-0.090,100.098,66.650,191.101
0.742,2.034,-0.351,78.308,78.674,156.799
0.715,1.828,-0.489,50.720,86.548,129.639
0.650,1.576,-0.588,40.344,83.984,106.750
0.594,1.406,-0.674,47.607,73.242,90.454
0.641,1.413,-0.700,49.805,63.110,82.336
0.709,1.475,-0.785,48.401,52.307,72.144
0.752,1.464,-0.839,51.453,42.053,55.603
0.790,1.432,-0.870,46.875,34.973,38.635
0.854,1.356,-0.874,33.203,30.823,21.179
0.882,1.199,-0.836,18.494,26.123,1.831
0.897,1.014,-0.781,7.874,17.883,-16.174
0.937,0.837,-0.713,2.319,7.446,-31.128
0.976,0.651,-0.603,0.183,-2.930,-42.603
0.976,0.442,-0.475,-1.709,-11.841,-50.659
0.948,0.275,-0.376,-7.141,-15.503,-52.185
0.927,0.162,-0.302,-15.198,-16.235,-45.776
0.944,0.112,-0.224,-23.254,-17.029,-35.095
0.976,0.075,-0.151,-28.625,-14.709,-24.048
1.014,0.070,-0.069,-30.640,-10.864,-16.052
1.038,0.063,-0.008,-27.039,-7.812,-12.268
1.070,0.062,0.040,-20.325,-5.127,-11.719
1.051,0.043,0.055,-13.306,-4.028,-12.451
1.047,0.020,0.080,-8.240,-2.869,-13.306
1.042,0.010,0.043,-7.080,-0.732,-12.634
1.020,-0.009,-0.016,-9.277,1.831,-11.902
1.004,-0.032,-0.070,-10.620,4.089,-11.230
0.990,-0.036,-0.117,-8.728,3.601,-10.742
0.979,-0.029,-0.144,-4.700,1.770,-10.925
0.974,-0.019,-0.163,-1.770,0.000,-10.620
0.976,-0.006,-0.177,-1.831,-1.953,-9.827
0.973,0.015,-0.170,-3.906,-4.089,-9.460
0.983,0.034,-0.132,-4.822,-6.104,-9.888
1.004,0.032,-0.085,-4.395,-6.592,-10.315
1.026,0.036,-0.053,-3.296,-6.104,-12.573
1.032,0.027,-0.037,-0.183,-5.859,-16.113
1.026,-0.001,-0.034,3.845,-6.226,-19.165
1.015,-0.030,-0.046,6.470,-5.920,-20.752
1.010,-0.062,-0.062,6.287,-4.456,-19.897
0.984,-0.089,-0.091,3.662,-2.258,-16.296
0.968,-0.059,-0.149,-1.038,-0.244,-10.254
0.949,0.003,-0.204,-6.226,0.793,-2.869
0.944,0.053,-0.237,-11.841,-0.061,2.869
0.959,0.104,-0.249,-14.893,-1.831,5.249
0.971,0.120,-0.202,-12.451,-3.662,4.822
